Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
""""" AVO-M",'VO TPE,70.0,'Interavtomatika,68.88888888888887,"""VO Technopromexport",67.01754385964912,Black Sea Bank Development and Reconstruction,63.70370370370371,'Federativnoye Gosudarstvo Novorossiya,63.60360360360361
"""AutoStanstans",Kalmius Battalion,65.3657616892911,Stroygazmontazh-Most (SGM-MOST,63.80194518125554,'Interavtomatika,63.29059829059829,Mostotrest,63.16239316239316,'Mostotrest,63.16239316239316
"""Brandstudio",Bank of Russia,66.45021645021644,Donetsk Republic,64.36688311688312,Narodny Soyuz,62.97036297036297,Sberbank,62.121212121212125,Smert Battalion,60.577200577200585
"Petersburg ""Petersburg",State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet,60.784677743742066,TPE,60.317460317460316,State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA,60.024420024420024,State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz,59.6171802054155,Industrialny Sberegatelny Bank,59.20634920634921
"""Lenpromgaz",'Lenpromtransproyekt,84.42105263157896,'Chernomorneftegaz,71.51960784313725,Promsvyazbank,68.7179487179487,Concern Almaz-Antey,59.42355889724311,UralVagonZavod,59.04761904761905
"""Vodokanal of St. Petersburg",'VO TPE,79.48717948717949,"O ""VO TPE",68.58974358974358,Black Sea Bank of Development and Reconstruction,66.88034188034187,'Federativnoye Gosudarstvo Novorossiya,66.47691647691649,Black Sea Bank for Development and Reconstruction,65.15131693703121
"""AVS",Zaliv Shipyard,73.80952380952381,Azovsky likerovodochny zavod,73.21428571428572,'Federativnoye Gosudarstvo Novorossiya,69.36936936936937,Bank Rossiya,61.11111111111111,UralVagonZavod,60.317460317460316
"""A24",Almaz-Antey,47.474747474747474,Bank Rossiya,47.222222222222214,Narodny Soyuz,47.008547008547005,Zaliv Shipyard,46.82539682539682,Bank of Russia,46.82539682539682
NTV-PLUS,VTB Bank (Public,66.11111111111111,TPE,63.888888888888886,'VO TPE,63.888888888888886,Peace To Luhansk Region,61.47342995169082,Donetsk Republic,59.72222222222222
"""Eco-Test",'VO TPE,72.22222222222221,Peace To Luhansk Region,67.88302277432713,"O ""VO TPE",66.66666666666666,NEW EASTERN OUTLK,64.54248366013073,ROSNEFT AERO,63.888888888888886
"""Aktion-Press",Battalion Gvardeysky,73.33333333333334,Bank Rossiya,69.44444444444443,'VO TPE,68.33333333333333,Bank of Russia,66.26984126984127,Aktsionernoe Obshchestvo Genbank,66.25631313131312
MegaFon,The Great Don Army,66.4021164021164,Genbank,63.095238095238095,Mir Luganschine,61.269841269841265,State Enterprise 'Magarach' of the National Institute of Wine,61.09765940274414,Sberbank,60.11904761904761
"FSUE ""Protection"" of Rosgvardia",'Federal State of Novorossiya,75.65270935960591,'Federativnoye Gosudarstvo Novorossiya,74.1323392357875,Feodosia Enterprise of oil,66.96286472148542,Research and Production Corporation UralVagonZavod,65.16710875331565,"'Foreign Economic Association' ""Technopromexport",64.80842911877394
"""MIKON",Prizrak Battalion 'Ghost' Brigade,64.30107526881721,Prizrak Battalion 'Ghost' Battalion,64.04040404040404,Mir Luganschine,60.0,Battalion Gvardeysky,58.333333333333336,Cossack National Guard,57.72727272727273
"""Intravizhn",'Interavtomatika,80.55555555555556,Integral,79.58333333333334,Industrial Savings Bank,67.42753623188406,ORIENTAL REVIEW,62.698412698412696,Bank Otkritie Financial,62.04968944099378
"""K2 Consult",Donetsk Republic,60.0,Peace To Luhansk Region,59.094202898550726,25 January Committee,58.80952380952381,Free Donbas,58.78787878787879,Free Donbass,57.777777777777786
"""Garden Stones",NEW EASTERN OUTLK,68.58220211161387,Luganskiy Ekonomicheskiy Soyuz,66.75213675213675,Donetskaya Narodnaya Respublika,65.89467879790459,'Federal State of Novorossiya,65.54279054279054,VAD Aktsionernoe Obshchestvo VAD,65.49145299145299
All-Russian public,Kalmius Battalion,66.181422063775,Russia Bank,65.48821548821549,'Luganskaya Narodnaya Respublika' (LNR,64.28571428571428,Zaliv Shipyard,64.02116402116401,First Crimean Insurance,63.5851266286049
"""Rostelecom",Rostec,92.0,ROSNEFT AERO,79.94444444444446,Luhansk Economic Union,62.51082251082251,TPE,62.22222222222222,Donbas People's Militia,62.04968944099378
OTIS LIFT,Otkritie,66.01851851851852,Fedosia Oil Products Supply,64.50617283950618,Vostok Battalion,64.31878306878306,"""United Aircraft",63.33333333333333,United Aircraft,63.33333333333333
"""Special Equipment",Peace To Luhansk Region,63.14293833475419,ORIENTAL REVIEW,62.630718954248366,Crimean Republican Enterprise Azov Distillery Plant,61.43790849673203,Russian Direct Investment Fund,60.44746103569633,Feodosia Enterprise of oil,59.91361579596873
"""VimpelCom",TPE,62.96296296296296,'VO TPE,61.11111111111111,"""VO Technopromexport",60.526315789473685,"O ""VO Technopromexport",59.523809523809526,"State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec",58.23412698412697
"""OB",Sobol,80.0,Dobrolet,75.0,Dobrolyot,74.07407407407408,Oplot Battalion,74.0,Svobodny Donbass,70.83333333333334
"""Minimax",Integral,60.11904761904761,Industrial Savings Bank,58.178053830227746,Industrialny Sberegatelny Bank,56.82539682539682,Luganskiy Ekonomicheskiy Soyuz,56.03174603174603,'Institute Giprostroymost - Saint-Petersburg,55.63298490127758
"""Hadhantter",Almaz-Antey,65.15151515151516,The Great Don Army,62.31481481481481,VAD Aktsionernoe Obshchestvo VAD,59.19642857142856,Almaz-Antey Defense,58.7719298245614,'Interavtomatika,57.93650793650793
