,0,1,2,3,4
" """" AVO-M ""","("" 'VO TPE'"", 70.0)","(' ""VO Technopromexport""', 67.01754385964912)","('Black Sea Bank Development and Reconstruction', 63.70370370370371)","(""'Federativnoye Gosudarstvo Novorossiya'"", 63.60360360360361)","('Black Sea Bank of Development and Reconstruction', 63.47222222222223)"
" ""AutoStanstans""","('Kalmius Battalion', 65.3657616892911)","('Stroygazmontazh-Most  (SGM-MOST )', 63.80194518125554)","("" 'Mostotrest'"", 63.16239316239316)","('Z Interautomatica', 62.94620412267471)","(""State Concern 'National Association of producers 'Massandra'"", 62.7867746288799)"
" ""Brandstudio""","('Bank of Russia', 66.45021645021644)","('Donetsk Republic', 64.36688311688312)","('Narodny Soyuz', 62.97036297036297)","('Sberbank', 62.121212121212125)","('Smert Battalion', 60.577200577200585)"
"Petersburg  ""Petersburg","(""State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet'"", 60.784677743742066)","(' TPE', 60.317460317460316)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 60.024420024420024)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 59.6171802054155)","('Industrialny Sberegatelny Bank', 59.20634920634921)"
" ""Lenpromgaz""","("" 'Lenpromtransproyekt'"", 84.42105263157896)","(' Promsvyazbank', 68.7179487179487)","('P Promsvyazbank', 66.66666666666666)","('Promsvyazbank P', 66.66666666666666)","('P Integral', 62.22222222222222)"
" ""Vodokanal of St. Petersburg""","("" 'VO TPE'"", 79.48717948717949)","('O ""VO TPE""', 68.58974358974358)","('Black Sea Bank of Development and Reconstruction', 66.88034188034187)","(""'Federativnoye Gosudarstvo Novorossiya'"", 66.47691647691649)","('C VAD Aktsionernoe Obshchestvo VAD', 65.24886877828054)"
" ""AVS""","(' Zaliv Shipyard', 73.80952380952381)","(""Azovsky likerovodochny zavod'"", 73.21428571428572)","(""'Federativnoye Gosudarstvo Novorossiya'"", 69.36936936936937)","('Bank Rossiya', 61.11111111111111)","('UralVagonZavod', 60.317460317460316)"
" ""A24""","('Almaz-Antey ', 47.474747474747474)","('Bank Rossiya', 47.222222222222214)","('Narodny Soyuz', 47.008547008547005)","(' Zaliv Shipyard', 46.82539682539682)","('Bank of Russia', 46.82539682539682)"
O NTV-PLUS,"('O ""VO TPE""', 78.22222222222223)","('Peace To Luhansk Region', 67.42753623188406)","('VTB Bank (Public )', 65.27777777777779)","("" 'VO TPE'"", 64.44444444444444)","('Donetsk Republic', 64.16666666666667)"
" ""Eco-Test""","("" 'VO TPE'"", 72.22222222222221)","('Peace To Luhansk Region', 67.88302277432713)","('O ""VO TPE""', 66.66666666666666)","(""P 'Chernomorneftegaz'"", 63.30409356725147)","('Free Donbas', 62.651515151515156)"
" ""Aktion-Press""","('Battalion Gvardeysky', 73.33333333333334)","('Bank Rossiya', 69.44444444444443)","("" 'VO TPE'"", 68.33333333333333)","('Bank of Russia', 66.26984126984127)","('Aktsionernoe Obshchestvo Genbank', 66.25631313131312)"
P MegaFon,"('P Integral', 68.5185185185185)","('P SOVCOMBANK', 66.66666666666666)","('P Sberbank of Russia', 66.16402116402116)","('P UAC', 64.44444444444444)","('Smert Battalion', 63.33333333333333)"
"FSUE ""Protection"" of Rosgvardia","(""'Federal State of Novorossiya'"", 75.65270935960591)","(""'Federativnoye Gosudarstvo Novorossiya'"", 74.1323392357875)","(' Feodosia Enterprise of oil', 66.96286472148542)","(' ""United Aircraft Corporation""', 66.34850216217427)","('United Aircraft Corporation', 66.34850216217427)"
" ""MIKON""","(""Prizrak Battalion 'Ghost' Brigade"", 64.30107526881721)","(""Prizrak Battalion 'Ghost' Battalion"", 64.04040404040404)","('Mir Luganschine', 60.0)","('Battalion Gvardeysky', 58.333333333333336)","('Cossack National Guard', 57.72727272727273)"
" ""Intravizhn""","(' Integral', 79.58333333333334)","('Integral', 79.58333333333334)","('Industrial Savings Bank', 67.42753623188406)","('P Integral', 66.66666666666666)","(""C 'Interavtomatika'"", 65.09803921568627)"
" ""K2 Consult""","('Donetsk Republic', 60.0)","('Peace To Luhansk Region', 59.094202898550726)","('25 January Committee', 58.80952380952381)","('Free Donbas', 58.78787878787879)","('Free Donbass', 57.777777777777786)"
" ""Garden Stones""","('Luganskiy Ekonomicheskiy Soyuz', 66.75213675213675)","('Donetskaya Narodnaya Respublika', 65.89467879790459)","(""'Federal State of Novorossiya'"", 65.54279054279054)","('C VAD Aktsionernoe Obshchestvo VAD', 64.75615887380593)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.66977466977467)"
All-Russian public,"('Kalmius Battalion', 66.181422063775)","('Russia Bank', 65.48821548821549)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 64.28571428571428)","(' Zaliv Shipyard', 64.02116402116401)","('Bank of Russia', 62.32804232804233)"
"P ""Rostelecom""","('Rostec', 83.33333333333334)","('P USC', 76.8888888888889)","("" 'VO TPE'"", 68.33333333333333)","('P Mostotrest', 67.46031746031746)","('P SOVCOMBANK', 67.46031746031746)"
OTIS LIFT ,"('Otkritie', 66.01851851851852)","('Vostok Battalion', 64.31878306878306)","('Fedosia Oil Products Supply Company', 62.248677248677254)","(""'Federativnoye Gosudarstvo Novorossiya'"", 60.8036608036608)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 59.967320261437905)"
" ""Special Equipment""","('Peace To Luhansk Region', 63.14293833475419)","('Crimean Republican Enterprise Azov Distillery Plant', 61.43790849673203)","('Russian Direct Investment Fund', 60.44746103569633)","(' Feodosia Enterprise of oil', 59.91361579596873)","('P UAC', 59.509803921568626)"
"P ""VimpelCom""","('P Integral', 65.15151515151516)","('P SOVCOMBANK', 62.62626262626263)","('P UAC', 62.424242424242415)","('P USC', 62.424242424242415)","('O ""VO TPE""', 62.121212121212125)"
"C ""OB""","('P SOVCOMBANK', 69.44444444444443)","('Free Donbass', 66.66666666666666)","(""Sobol'"", 63.33333333333333)","('Peace To Luhansk Region', 62.68115942028986)","('C VAD Aktsionernoe Obshchestvo VAD', 61.274509803921575)"
" ""Minimax""","(' Integral', 60.11904761904761)","('Integral', 60.11904761904761)","('Industrial Savings Bank', 58.178053830227746)","('P Integral', 57.61904761904763)","('Industrialny Sberegatelny Bank', 56.82539682539682)"
" ""Hadhantter""","('Almaz-Antey Corp', 65.83333333333333)","('Almaz-Antey ', 65.15151515151516)","('The Great Don Army', 62.31481481481481)","(' Almaz-Antey Corporation', 62.02898550724637)","('C VAD Aktsionernoe Obshchestvo VAD', 58.767507002801125)"
