Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
AVO M,VO TPE,55,O VO TPE,46,Smert Battalion,40,Interavtomatika,40,Somali Battalion,38
AutoStanstans,Sparta Battalion,55,Smert Battalion,50,Somali Battalion,48,Vostok Battalion,48,Death Battalion,43
Brandstudio,Russia Bank,45,Vostok Battalion,44,IS Bank,44,Bank Rossiya,43,VTB Bank,42
Petersburg Petersburg,Institute Giprostroymost Saint Petersburg,52,Sberbank Public Sberbank,36,Internet Research Agency,36,State enterprise Universal Avia,35,Feodosia Enterprise of oil,34
Lenpromgaz,Lenpromtransproyekt,55,Chernomorneftegaz,52,Promsvyazbank,52,Z Interautomatica,44,VO Technopromexport,41
Vodokanal of St Petersburg,Institute Giprostroymost Saint Petersburg,51,State enterprise Universal Avia,46,O VO Technopromexport,43,Federativnoye Gosudarstvo Novorossiya,41,O VO TPE,41
AVS,IS Bank,40,VTB Bank,36,Zaliv Shipyard,35,UAC,33,USC,33
A24,UAC,33,Bulwark,20,Genbank,20,IS Bank,20,558 ARP,20
NTV PLUS,Donetsk Republic,42,Russia Bank,42,Kalmius Battalion,40,IS Bank,40,Donbas People s Militia,39
Eco Test,VO TPE,57,Mostotrest,56,O VO TPE,50,Mostotrest P,50,Army of the Southeast,41
Aktion Press,Sparta Battalion,57,Battalion Gvardeysky,56,Bank of Russia,54,Death Battalion,52,Smert Battalion,52
MegaFon,Smert Battalion,45,Genbank,43,The Great Don Army,40,Sberbank,40,Integral,40
FSUE Protection of Rosgvardia,Sberbank of Russia,51,State Concern National Association of producers Massandra,47,Research and Production Corporation UralVagonZavod,46,Battalion Gvardeysky,45,Sparta Battalion,44
MIKON,Smert Battalion,40,Sovkombank,40,Somali Battalion,38,Luhansk Economic Union,37,Kalmius Battalion,36
Intravizhn,Interavtomatika,56,Integral,56,Z Interavtomatika IA,53,Z Interautomatica,52,Industrial Savings Bank,48
K2 Consult,SOVCOMBANK,40,Donetsk Republic,38,Free Donbas,38,Luhansk Economic Union,38,Vostok Battalion,38
Garden Stones,Narodny Soyuz,54,ROSNEFT AERO,48,Army of the Southeast,47,Army of the South East,46,Cossack National Guard,46
All Russian public,VTB Bank Public,61,Bank of Russia,56,Russia Bank,55,So called Donetsk People s Republic,49,So called Lugansk People s Republic,49
Rostelecom,Rostec,75,ROSNEFT AERO,55,Dobrolet,44,O VO TPE,44,Mostotrest,40
OTIS LIFT,Donetsk Republic,48,Otkritie,47,Oplot Battalion,42,Mostotrest,42,Interavtomatika,42
Special Equipment,Integral,48,Russian Direct Investment Fund,47,ORIENTAL REVIEW,44,State enterprise Universal Avia,42,Luhansk Economic Union,41
VimpelCom,SOVCOMBANK,42,VO TPE,40,O VO TPE,35,People s Union,35,Integral,35
OB,Sobol,57,Dobrolet,40,VTB,40,Dobrolyot,36,SOVCOMBANK,33
Minimax,Integral,40,Mir Luganschine,36,Interavtomatika,36,Somali Battalion,35,Z Interautomatica,33
Hadhantter,Almaz Antey,48,Integral,44,Concern Almaz Antey,41,Smert Battalion,40,United Aircraft,40
Four Seasons,Sberbank of Russia,47,Free Donbass,42,Army of the South East,41,Cossack National Guard,41,O VO TPE,40
