Supplier Name,Country Code,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
Zip Heaters UK t a Zip Water,GRP-IMS-1001042,Z Interavtomatika IA,42,Z Interautomatica,40,NEW EASTERN OUTLK,40,Federal United Enterprise Crimea Railway,38,Internet Research Agency,38
Top Banana,GRP-IMS-1001047,VTB Bank,56,Oplot Battalion,48,Bank Otkritie Financial,48,IS Bank,47,Vostok Battalion,46
TLT,GRP-IMS-1001049,Otkritie,36,Integral,36,TPE,33.333333333333336,Death Battalion,33,Smert Battalion,33
PIB Risk Management,GRP-IMS-1001075,CB IS Bank,48,First Crimean Insurance,43,Internet Research Agency,42,Prizrak Brigade,41,Prizrak Battalion Ghost Brigade,40
Willis,GRP-IMS-1001080,IS Bank,31,Zaliv Shipyard,30,Smert Battalion,29,Oplot Battalion,29,Mir Luganschine,29
UnumProvident,GRP-IMS-1001092,Peace To Luhansk Region,39,Dobrolet,38,VO Technopromexport,38,Narodny Soyuz,38,Lenpromtransproyekt,38
Unibind Systems,GRP-IMS-1001094,People s Union,48,United Aircraft,40,Tactical Missiles,38,Mostotrest P,37,Narodny Soyuz,36
Communicate,GRP-IMS-1001104,United Aircraft,46,25 January Committee,45,Chernomorneftegaz,43,Otkritie,42,Concern Almaz Antey,40
Christmas Connections,GRP-IMS-1001114,Luhansk Economic Union,47,Somali Battalion,43,Sparta Battalion,43,Chernomorneftegaz,42,Stroygazmontazh Corporation SGM Group,41
Chase International,GRP-IMS-1001117,Cossack National Guard,59,Z Interavtomatika IA,56,Z Interautomatica,56,Interavtomatika,53,Integral,52
ParadigmOriginal,GRP-IMS-1001022,Prizrak Brigade,45,Prizrak Battalion Ghost Brigade,43,Cossack National Guard,42,Bank Otkritie Financial,41,Zaliv Shipyard,40
Independent Board Evaluation,GRP-IMS-1001237,Death Battalion,51,Smert Battalion,47,Oplot Battalion,47,Black Sea Bank Development and Reconstruction,47,Sparta Battalion,45
Dial A Cab,GRP-IMS-1001141,CB IS Bank,60,Industrial Savings Bank,48,Cossack National Guard,44,Bank of Russia,42,Death Battalion,40
Jurys Inn Milton Keynes,GRP-IMS-1001239,25 January Committee,47,Donbass People s Militia,38,Foreign Economic Association Technopromexport,38,People s Union,38,Battalion Gvardeysky,37
Luton Hoo Park,GRP-IMS-1001246,Sparta Battalion,47,Zaliv Shipyard,43,Battalion Gvardeysky,41,Sparkling Wine Plant Novy Svet,41,Zarya Battalion,41
Liferay International,GRP-IMS-1001253,Russian National Commercial Bank,53,Z Interautomatica,53,Interavtomatika,50,Z Interavtomatika IA,49,Integral,48
ANDigital,GRP-IMS-1001156,Integral,47,Somali Battalion,40,Russia Bank,40,GEOPOLITICA,40,Donbas People s Militia,38
Bentley Associates,GRP-IMS-1001160,Bank Rossiya,47,Tactical Missiles,46,NEW EASTERN OUTLK,46,Foreign Economic Association Technopromexport,44,Bank of Russia,44
Addacard,GRP-IMS-1001167,So called Luhansk Guard,39,So called Lugansk Guard,39,Zaliv Shipyard,36,Battalion Gvardeysky,36,UAC,36
Grays Search Selection,GRP-IMS-1001274,Internet Research Agency,48,Peace To Luhansk Region,44,Death Battalion,43,Sparta Battalion,42,Black Sea Bank for Development and Reconstruction,42
Vodafone Cable Wireless Communications,GRP-IMS-1001184,Russian National Commercial Bank,46,Donbas People s Militia,43,Donbass People s Militia,42,People s Union,42,So called Luhansk Guard,39
Gartner,GRP-IMS-1001278,Rostec,46,Mir Luganschine,45,United Aircraft,45,Genbank,43,ROSNEFT AERO,42
Brightred Resourcing,GRP-IMS-1001190,United Shipbuilding,51,Resort Nizhnyaya Oreanda,50,Internet Research Agency,41,United Aircraft,40,Russian Direct Investment Fund,40
Birchman Solutions,GRP-IMS-1001206,Luhansk Economic Union,50,First Crimean Insurance,49,Somali Battalion,47,Army of the Southeast,41,Svobodny Donbass,41
Hays Specialist Recruitment,GRP-IMS-1001294,Russian Direct Investment Fund,49,First Crimean Insurance,40,Bank Otkritie Financial,40,Foreign Economic Association Technopromexport,39,Sparkling Wine Plant Novy Svet,39
Ernst Young,GRP-IMS-1001211,Smert Battalion,46,NEW EASTERN OUTLK,43,Narodny Soyuz,42,First Crimean Insurance,41,People s Union,40
Juniper Innovations JUN,GRP-IMS-1001212,Russian Direct Investment Fund,45,Smert Battalion,42,Sparkling Wine Plant Novy Svet,42,United Aircraft,42,Sparta Battalion,41
Incadea,GRP-IMS-1001296,Death Battalion,45,Prizrak Brigade,45,Integral,40,Zaliv Shipyard,38,Battalion Gvardeysky,37
JP Morgan,GRP-IMS-1001213,Prizrak Brigade,42,VO TPE,40,Chernomorneftegaz,38,Genbank,38,IS Bank,38
Inchcape Estates,GRP-IMS-1001297,Z Interautomatica,42,Tactical Missiles,42,NEW EASTERN OUTLK,42,Donbas People s Militia,41,First Crimean Insurance,41
JPM Property Maintenance,GRP-IMS-1001214,O VO Technopromexport,44,NEW EASTERN OUTLK,44,Gas Industry Insurance Company SOGAZ,43,Concern Almaz Antey,42,VO Technopromexport,42
Inchcape Fleet DO NOT USE,GRP-IMS-1001298,Free Donbas,44,Russian Direct Investment Fund,44,Free Donbass,43,The Great Don Army,42,O VO TPE,42
Inchcape Motors Retail,GRP-IMS-1001299,Peace To Luhansk Region,44,Mostotrest,44,Movement Novorossiya of Ignor Strelkov,43,Resort Nizhnyaya Oreanda,43,558 Aircraft Repair Plant,43
John Lindquist,GRP-IMS-1001215,Kalmius Battalion,45,Industrial Savings Bank,43,Donbas People s Militia,38,IS Bank,38,Donbass People s Militia,37
IMSO,GRP-IMS-1001300,Sobol,44,Mostotrest,43,Mostotrest P,38,IS Bank,36,Somali Battalion,30
Jigsaw24,GRP-IMS-1001216,IS Bank,40,Integral,38,CB IS Bank,33,Zaliv Shipyard,27,Genbank,27
JFK Business Services,GRP-IMS-1001217,Donetsk Republic,43,Free Donbass,42,Aktsionernoe Obshchestvo Genbank,42,Smert Battalion,39,Mir Luganschine,39
Black Callow,GRP-IMS-1001301,Bank Otkritie Financial,46,CB IS Bank,45,Oplot Battalion,44,Russia Bank,43,Bulwark,42
JB International Training,GRP-IMS-1001218,Russian National Commercial Bank,53,Z Interavtomatika IA,53,Industrial Savings Bank,50,Z Interautomatica,48,Cossack National Guard,47
