Russian name,Display Name
"ООО "" ОО ""АВО-М""","LLC ""OO"" AVO-M """
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"АО ""АВТОАССИСТАНС""","JSC ""AutoStanstans"""
"ООО ""БРЭНДСТУДИО""","LLC ""Brandstudio"""
"ООО ""ПетербургГаз""","Petersburg LLC ""Petersburg"
"АО ""Ленпромгаз""","JSC ""Lenpromgaz"""
"ГУП ""Водоканал Санкт-Петербурга""","GUP ""Vodokanal of St. Petersburg"""
"ГУП ""Водоканал Санкт-Петербурга""","GUP ""Vodokanal of St. Petersburg"""
"ООО ""АВС ""","LLC ""AVS"""
"ООО ""А24""","LLC ""A24"""
"ООО ""А24""","LLC ""A24"""
"ООО ""А24""","LLC ""A24"""
"ОАО ""НТВ-Плюс""",OJSC NTV-PLUS
"ОАО ""НТВ-Плюс""",OJSC NTV-PLUS
"ООО ""Эко-Тест""","LLC ""Eco-Test"""
"ООО ""Эко-Тест""","LLC ""Eco-Test"""
"ООО ""Актион-пресс""","LLC ""Aktion-Press"""
"ООО ""Актион-пресс""","LLC ""Aktion-Press"""
"ООО ""Актион-пресс""","LLC ""Aktion-Press"""
"ПАО ""МегаФон""",PJSC MegaFon
"ПАО ""МегаФон""",PJSC MegaFon
"ПАО ""МегаФон""",PJSC MegaFon
"ФГУП ""Охрана"" Росгвардии","FSUE ""Protection"" of Rosgvardia"
"ФГУП ""Охрана"" Росгвардии","FSUE ""Protection"" of Rosgvardia"
"ООО ""Микрон""","LLC ""MIKON"""
"ООО ""Микрон""","LLC ""MIKON"""
"ООО ""Микрон""","LLC ""MIKON"""
"ООО ""Интравижн""","LLC ""Intravizhn"""
"ООО ""К2 Консалт""","LLC ""K2 Consult"""
"ООО ""К2 Консалт""","LLC ""K2 Consult"""
"ООО ""Сад камней""","LLC ""Garden Stones"""
"ООО ""Сад камней""","LLC ""Garden Stones"""
Общероссийская общественная,All-Russian public
Общероссийская общественная,All-Russian public
Общероссийская общественная,All-Russian public
Общероссийская общественная,All-Russian public
Общероссийская общественная,All-Russian public
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ПАО ""Ростелеком""","PJSC ""Rostelecom"""
"ООО ""ОТИС Лифт""",OTIS LIFT LLC
"ООО ""Специальное Оборудование""","LLC ""Special Equipment"""
"ООО ""Специальное Оборудование""","LLC ""Special Equipment"""
"ООО ""Специальное Оборудование""","LLC ""Special Equipment"""
"ООО ""Специальное Оборудование""","LLC ""Special Equipment"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
"ПАО ""ВымпелКом""","PJSC ""VimpelCom"""
