,Supp Name,Score,Supplier Name,Sanctioned and Country Code,Sanctioned Name,Country Code
0,"('LLC ""OO"" AVO-M ""', ('HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE', 'AFG0001'))",13.0,"LLC ""OO"" AVO-M ""","('HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE', 'AFG0001')",HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,AFG0001
1,"('LLC ""OO"" AVO-M ""', ('Haji Alim Hawala', 'AFG0001'))",29.0,"LLC ""OO"" AVO-M ""","('Haji Alim Hawala', 'AFG0001')",Haji Alim Hawala,AFG0001
2,"('LLC ""OO"" AVO-M ""', ('Haji Hakim Hawala', 'AFG0001'))",27.0,"LLC ""OO"" AVO-M ""","('Haji Hakim Hawala', 'AFG0001')",Haji Hakim Hawala,AFG0001
3,"('LLC ""OO"" AVO-M ""', ('Haji Khair Ullah Money Service', 'AFG0001'))",17.0,"LLC ""OO"" AVO-M ""","('Haji Khair Ullah Money Service', 'AFG0001')",Haji Khair Ullah Money Service,AFG0001
4,"('LLC ""OO"" AVO-M ""', ('Haji Khairullah and Abdul Sattar and Company', 'AFG0001'))",11.0,"LLC ""OO"" AVO-M ""","('Haji Khairullah and Abdul Sattar and Company', 'AFG0001')",Haji Khairullah and Abdul Sattar and Company,AFG0001
5,"('LLC ""OO"" AVO-M ""', ('Haji Khairullah Money Exchange', 'AFG0001'))",17.0,"LLC ""OO"" AVO-M ""","('Haji Khairullah Money Exchange', 'AFG0001')",Haji Khairullah Money Exchange,AFG0001
6,"('LLC ""OO"" AVO-M ""', ('Haji Khairullah-Haji Sattar Sarafi', 'AFG0001'))",10.0,"LLC ""OO"" AVO-M ""","('Haji Khairullah-Haji Sattar Sarafi', 'AFG0001')",Haji Khairullah-Haji Sattar Sarafi,AFG0001
7,"('LLC ""OO"" AVO-M ""', ('Haji Salam Hawala', 'AFG0001'))",27.0,"LLC ""OO"" AVO-M ""","('Haji Salam Hawala', 'AFG0001')",Haji Salam Hawala,AFG0001
8,"('LLC ""OO"" AVO-M ""', ('Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah', 'AFG0001'))",11.0,"LLC ""OO"" AVO-M ""","('Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah', 'AFG0001')",Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah,AFG0001
9,"('LLC ""OO"" AVO-M ""', ('ROSHAN MONEY EXCHANGE', 'AFG0002'))",23.0,"LLC ""OO"" AVO-M ""","('ROSHAN MONEY EXCHANGE', 'AFG0002')",ROSHAN MONEY EXCHANGE,AFG0002
10,"('LLC ""OO"" AVO-M ""', ('Haji Ahmad Shah Hawala', 'AFG0002'))",22.0,"LLC ""OO"" AVO-M ""","('Haji Ahmad Shah Hawala', 'AFG0002')",Haji Ahmad Shah Hawala,AFG0002
11,"('LLC ""OO"" AVO-M ""', ('Maulawi Ahmed Shah Hawala', 'AFG0002'))",20.0,"LLC ""OO"" AVO-M ""","('Maulawi Ahmed Shah Hawala', 'AFG0002')",Maulawi Ahmed Shah Hawala,AFG0002
12,"('LLC ""OO"" AVO-M ""', ('Mullah Ahmed Shah Hawala', 'AFG0002'))",21.0,"LLC ""OO"" AVO-M ""","('Mullah Ahmed Shah Hawala', 'AFG0002')",Mullah Ahmed Shah Hawala,AFG0002
13,"('LLC ""OO"" AVO-M ""', ('Roshan Sarafi', 'AFG0002'))",22.0,"LLC ""OO"" AVO-M ""","('Roshan Sarafi', 'AFG0002')",Roshan Sarafi,AFG0002
14,"('LLC ""OO"" AVO-M ""', ('Roshan Shirkat', 'AFG0002'))",21.0,"LLC ""OO"" AVO-M ""","('Roshan Shirkat', 'AFG0002')",Roshan Shirkat,AFG0002
15,"('LLC ""OO"" AVO-M ""', ('Roshan Trading Company', 'AFG0002'))",21.0,"LLC ""OO"" AVO-M ""","('Roshan Trading Company', 'AFG0002')",Roshan Trading Company,AFG0002
16,"('LLC ""OO"" AVO-M ""', ('Rushaan Trading Company', 'AFG0002'))",20.0,"LLC ""OO"" AVO-M ""","('Rushaan Trading Company', 'AFG0002')",Rushaan Trading Company,AFG0002
17,"('LLC ""OO"" AVO-M ""', ('HAQQANI NETWORK (HQN)', 'AFG0003'))",25.0,"LLC ""OO"" AVO-M ""","('HAQQANI NETWORK (HQN)', 'AFG0003')",HAQQANI NETWORK (HQN),AFG0003
18,"('LLC ""OO"" AVO-M ""', ('RAHAT LTD.', 'AFG0004'))",20.0,"LLC ""OO"" AVO-M ""","('RAHAT LTD.', 'AFG0004')",RAHAT LTD.,AFG0004
19,"('LLC ""OO"" AVO-M ""', ('Haji Muhammad Qasim Sarafi', 'AFG0004'))",19.0,"LLC ""OO"" AVO-M ""","('Haji Muhammad Qasim Sarafi', 'AFG0004')",Haji Muhammad Qasim Sarafi,AFG0004
20,"('LLC ""OO"" AVO-M ""', ('Musa Kalim Hawala', 'AFG0004'))",27.0,"LLC ""OO"" AVO-M ""","('Musa Kalim Hawala', 'AFG0004')",Musa Kalim Hawala,AFG0004
21,"('LLC ""OO"" AVO-M ""', ('New Chagai Trading', 'AFG0004'))",17.0,"LLC ""OO"" AVO-M ""","('New Chagai Trading', 'AFG0004')",New Chagai Trading,AFG0004
22,"('LLC ""OO"" AVO-M ""', ('Rahat Trading Company', 'AFG0004'))",22.0,"LLC ""OO"" AVO-M ""","('Rahat Trading Company', 'AFG0004')",Rahat Trading Company,AFG0004
23,"('LLC ""OO"" AVO-M ""', ('HAJI BASIR AND ZARJMIL COMPANY HAWALA', 'AFG0005'))",19.0,"LLC ""OO"" AVO-M ""","('HAJI BASIR AND ZARJMIL COMPANY HAWALA', 'AFG0005')",HAJI BASIR AND ZARJMIL COMPANY HAWALA,AFG0005
